diagnosis,note,ICD1,ICD2,ICD3,ICD4,ICD5
A型鏈球菌蜂窩性組織炎,5,L039,A491,,,
A族鏈球菌感染,0,A491,,,,
A群鏈球菌,0,A491,,,,
B12缺乏症,0,E538,,,,
B12與葉酸缺乏症,0,E538,,,,
BEHCET 徵候群,0,M352,,,,
BELL氏麻痺,0,G510,,,,
BK病毒膀胱炎,0,N308,,,,
BURKITT氏瘤,0,C837,,,,
BZD依賴,0,F192,,,,
BZD依賴(T),7,T424,X41,X61,X85,Y11
Bartter症候群,0,E268,,,,
Basedow氏病,0,E050,,,,
Beal氏症候群,0,B301,,,,
Benzodiazepines藥物,7,T424,X41,X61,X85,Y11
Brugada症候群,1,I472,P291,,,
Bruqada症候群,0,Q998,,,,
Buccal Caner,0,C060,,,,
Budd-Chiari氏症候群,0,I820,,,,
Buerger's syndrome open,0,I731,,,,
Burkitt氏淋巴瘤,0,C837,,,,
B型主動脈剝離,0,I710(nTR),,,,
B型主動脈剝離破裂,0,I710(nTR),,,,
B型主動脈弓中斷,0,Q251,,,,
B型主動脈瘤,0,I719,,,,
B型主動脈瘤剝離,0,I710(nTR),,,,
B型人格異常,0,F609,,,,
B型嗜血桿菌感染,0,A492,,,,
B型嗜血桿菌腦膜炎,0,G000,,,,
B型性肝硬化,1,K746,P788,,,
B型流感,0,J108,,,,
B型流感重症,0,J108,,,,
B型流行性感冒,0,J108,,,,
B型流行性感冒病毒感染,0,J108,,,,
B型流行性感冒重症,0,J108,,,,
B型流行感冒病毒,0,J108,,,,
B型流行感冒病毒感染,0,J108,,,,
B型淋巴瘤,0,C851,,,,
B型淋巴細胞癌,0,C851,,,,
B型溶血性鏈球菌感染,0,A491,,,,
B型猛暴性肝炎,1,B169,P353,,,
B型病毒性肝炎,1,B169,P353,,,
B型病毒抗原陽性,1,B169,P353,,,
B型病毒流感,0,J108,,,,
B型肝性腦惡化,0,K729,,,,
B型肝炎,1,B169,P353,,,
B型肝炎帶原,1,B169,P353,,,
B型肝炎帶原者,1,B169,P353,,,
B型肝炎急性發作,1,B169,P353,,,
B型肝炎感染,1,B169,P353,,,
B型肝炎抗原陽性,1,B169,P353,,,
B型肝炎病毒帶原,1,B169,P353,,,
B型肝炎病毒感染,1,B169,P353,,,
B型肝炎病毒表面抗原陽性,1,B169,P353,,,
B型酒精性肝炎,1,K701,P592,,,
B型酒精性肝硬化,0,K703,,,,
B型鏈球菌感染,0,A491,,,,
B型鏈球菌敗血症,1,A401,P360,,,
B型鏈球菌敗血症休克,1,A401,P360,,,
B型非代償性肝硬變症,1,K746,P788,,,
B族鏈球菌敗血症,1,A401,P360,,,
B細胞惡性淋巴癌,0,C851,,,,
B細胞淋巴瘤,0,C851,,,,
B細胞淋巴癌,0,C851,,,,
B群鏈球菌,0,A491,,,,
B肝帶原,1,B169,P353,,,
B肝病毒帶原,1,B169,P353,,,
CANCER OF LUNG,0,C349,,,,
CATCH22Q11缺損症候群,0,D821,,,,
CHRONIC OBSTRUCTIVE AIRWAY DISEASE,0,J449,,,,
CHRONIC RENAL FAILURE,1,N189,P960,,,
CMV感染,0,B259,,,,
COPD,0,J449,,,,
COVID 19,1,J128,P230,,,
COVID-19國外死亡,0,U071,,,,
COVID-19疾管署發布確診,0,U071,,,,
CO中毒,7,T58,X474,X674,X884,Y174
"CPK,CK-MB偏高",0,R943,,,,
CREST綜合徵,1,M341,P838,,,
Canavan症候群,0,E752,,,,
Cardiac cancer of stomach,0,C160,,,,
Castleman 氏疾病,0,R599,,,,
CastlemansDisease,0,R599,,,,
Cerebrova Scular Accident,0,I6409,,,,
Chediak-Higashi 症候群,0,E703,,,,
Chest Infection,0,B99,,,,
Chiari先天性畸形,0,Q070,,,,
Chiari第二型畸型,0,Q070,,,,
Churg-Strauss 症候群,0,M301,,,,
Cirrhosis,1,K746,P788,,,
Citalopram中毒,7,T432,X41,X61,X85,Y11
Clonazepam中毒,7,T424,X41,X61,X85,Y11
Clozapine中毒,7,T424,X41,X61,X85,Y11
Cockayne症候群,0,Q871,,,,
Colles氏閉鎖性骨折,0,S525,,,,
Congestive Heart  Disease,1,I5009,P290,,,
C型病毒性肝炎,1,B171,P353,,,
C型肝,1,B171,P353,,,
C型肝失代償,1,B171,P353,,,
C型肝性腦惡化,0,K729,,,,
C型肝炎,1,B171,P353,,,
C型肝炎急性惡化,1,B171,P353,,,
C型肝炎急性發作,1,B171,P353,,,
C型肝炎病毒帶原,1,B171,P353,,,
C型肝炎病毒感染,1,B171,P353,,,
C型肝炎病毒慢性感染,1,B182,P353,,,
C型肝硬化,1,K746,P788,,,
C型蛋白缺乏,0,D809,,,,
C肝帶原,1,B171,P353,,,
C肝病毒帶原,1,B171,P353,,,
DEDAUGE症候群,0,Q897,,,,
DENYS–DRASH SYNDROME,0,N041,,,,
DM,1,E149,P702,,,
DM nephropathy in ESRD on HD,1,E142,P702,,,
DOA,0,R999,,,,
DRESS症候群,0,L270,,,,
Dandy-Walker畸型,0,Q031,,,,
Degos疾病,0,I778,,,,
DiGeorge症候群,0,D821,,,,
Diphenhydrminehydrochloride過量,7,T450,X44,X64,X85,Y14
Down氏徵候群,0,Q909,,,,
Doxepin過量,7,T432,X41,X61,X85,Y11
Doxorubicin相關之心臟毒性,7,T451,X44,X64,X85,Y14
Dravet症候群,0,G404,,,,
Dshwachman syndrone 先天症候群,0,Q878,,,,
Duret氏腦實質出血,3,I6199(nTR),S063(TR),P524,,
D型肝炎,1,B178,P353,,,
D型肝炎帶原,1,B178,P353,,,
D型肝炎急性發作,1,B178,P353,,,
D型鏈球菌尿路感染,5,N390,A491,,,
D型鏈球菌性肺炎,1,J154,P232,,,
EB病毒B細胞淋巴癌,5,C851,B348,,,
EB病毒之嗜血症侯群,5,B348,D762,,,
EB病毒感染,0,B348,,,,
EB病毒淋巴球增生症,0,B348,,,,
EMBERGER症候群,0,D467,,,,
ESRD,0,N185,,,,
Ebstein氏異常,0,Q225,,,,
Ebstein氏畸形,0,Q225,,,,
Edwards氏症候群,0,Q913,,,,
Eisehmerge症候群,0,Q218,,,,
Estazolam中毒,7,T424,X41,X61,X85,Y11
Evan症候群,0,D693,,,,
Ewing s肉瘤,0,C419,,,,
E嗜細胞病毒感染,0,B259,,,,
E型肝炎,1,B172,P353,,,
E抗原陰性帶原急性發作,1,B172,P353,,,
E抗原陽性猛爆性肝炎,1,B199,P353,,,
FOURNIER'S 壞疽,4,N498,N768,,,
Flunitrazepam中毒,7,T424,X41,X61,X85,Y11
Flurazepam中毒,7,T424,X41,X61,X85,Y11
Fluvoxamine中毒,7,T432,X41,X61,X85,Y11
Fournier gangrene,4,N498,N768,,,
Fournier症侯群,4,N498,N768,,,
GALLOAWAY-MOWAT 症候群,0,Q02,,,,
Galloway Mowat症候群,0,Q02,,,,
Galloway-Mowat syndrome,0,Q02,,,,
Gaucher氏症,0,E752,,,,
Gitelman氏症候群,0,N158,,,,
Goldenhar syndrome,0,Q870,,,,
Guillian-Barre syndome,0,G610,,,,
G型鏈菌血症,0,A491,,,,
G族鏈球菌感染,0,A491,,,,
H1N1亞型重症,0,J1010,,,,
H1N1感染,0,J1010,,,,
H1N1新流感,0,J1010,,,,
H1N1流感重症,0,J1010,,,,
H1N1疫苗注射後,0,Y590,,,,
H1N1重症A型流行性感冒,0,J1010,,,,
H2S中毒,7,T596,X478,X678,X888,Y178
HALLERMAN SCHIEFF SYNDROME,0,Q870,,,,
HELLP 症侯群,1,O141,P000,,,
HHNK,1,E140,P702,,,
HIV,0,B24,,,,
HIV infection,0,B24,,,,
HIV帶原,0,B24,,,,
HIV感染,0,B24,,,,
HIV陽性,0,B24,,,,
HTN,1,I10,P292,,,
HYPERTENSION,1,I10,P292,,,
HYPERTENSIVE HEART DISEASE,1,I119,P298,,,
Heroin使用過量,7,T401,X42,X62,X85,Y12
Hickman 導管感染,5,T857,Y841,,,
Hodgkin淋巴瘤,0,C819,,,,
Holt-Oram syndrome,0,Q872,,,,
Hungtington舞蹈症,0,G10,,,,
Hurler症候群,0,E760,,,,
H型鋼鐵壓傷,6,W20,X83,Y08,Y33,
ICH,3,I6199(nTR),S063(TR),P524,,
INFLUENZA A,0,J108,,,,
IgA腎炎,0,N059,,,,
IgA腎絲球腎炎,0,N059,,,,
IgG4硬化疾病,1,M349,P838,,,
Imipramine使用,7,T430,X41,X61,X85,Y11
Ischenic Heart Disease,0,I259,,,,
Jeune胸廓窄縮畸型症候群,0,Q772,,,,
Joubert氏症候群(家族性小腦蚓部發育不全),0,Q043,,,,
KLATSKIN氏腫瘤,0,C221,,,,
Kaposi氏惡性肉瘤,0,C469,,,,
Ketamine中毒,7,T412,X44,X64,X85,Y14
Ketamine濫用,0,F151,,,,
Ketamine濫用(T),7,T412,X44,X64,X85,Y14
Ketamine過量,7,T412,X44,X64,X85,Y14
Kippel-Trenauay-Weber syndrone,0,Q872,,,,
Kommerell氏憩室,0,Q254,,,,
K他命中毒,7,T412,X44,X64,X85,Y14
Leigh disease,0,G318,,,,
Leigh症候群,0,G318,,,,
Lennox-Gastaut syndrome,0,G404,,,,
Libman-sachs氏心內膜炎,0,M321,,,,
MDA中毒,7,T436,X41,X61,X85,Y11
MDA中毒(F),0,F151,,,,
MDA過量,7,T436,X41,X61,X85,Y11
MDMA濫用,0,F151,,,,
MDMA濫用(T),7,T436,X41,X61,X85,Y11
MELAS症候群,0,G713,,,,
MMA過量,7,T436,X41,X62,X85,Y12
MRSA感染症,0,A490,,,,
Majeed症候群,0,D898,,,,
Malignant rhabdoid tumor,0,C64,,,,
Marfan症候群,0,Q874,,,,
Meiges症候群,0,Q820,,,,
Melas徵候群,0,Q998,,,,
Menkes捲髮症,0,E830,,,,
Menkes氏症候群,0,E830,,,,
Meperidine中毒,7,T404,X42,X62,X85,Y12
Mephedrone,7,T436,X41,X61,X85,Y11
Merkel細胞癌,0,C449,,,,
Merkel腺癌,0,C449,,,,
Methadone,7,T403,X42,X62,X85,Y12
Methamphetamine,7,T436,X41,X62,X85,Y12
Methamphetamine使用過量,7,T436,X41,X62,X85,Y12
Methamphetamine過量,7,T436,X41,X62,X85,Y12
Methomyl中毒,7,T609,X48,X68,X87,Y18
Miller-Dieker症候群,0,Q043,,,,
Mirtazapine中毒,7,T430,X41,X61,X85,Y11
Morphine中毒,7,T402,X42,X62,X85,Y12
Moya Moya疾病,0,I675,,,,
Moya-Moya氏疾病,0,I675,,,,
N-ethylpentylone中毒,7,T436,X41,X62,X85,Y12
NETHERTON症候群,0,Q803,,,,
NK-T細胞淋巴瘤,0,C859,,,,
NK-T細胞淋巴癌,0,C859,,,,
NKIT細胞淋巴癌,0,C859,,,,
Near muall細胞肺癌,0,C349,,,,
OLANZAPINE,7,T435,X41,X61,X85,Y11
ORSA感染,0,A490,,,,
Oxamyl中毒,7,T609,X48,X68,X87,Y18
P-ANCA陽性腎絲球腎炎,0,N059,,,,
PANCA陽性血管炎,0,M301,,,,
PDRAB細菌感染,0,A498,,,,
PMA中毒,7,T436,X41,X62,X85,Y12
PMMA中毒,7,T436,X41,X62,X85,Y12
POEMSsyndrome腫瘤相關症候群,0,D477,,,,
POEMS症候群,0,D477,,,,
PRADER-WILLI氏症候群,0,Q871,,,,
PROPFOL中毒,7,T414,X44,X64,X85,Y14
PVC靜電膜纏繞頸部,7,T71,W76,X70,X91,Y20
Paroxetine中毒,7,T432,X41,X61,X85,Y11
Permethrin中毒,7,T609,X48,X68,X87,Y18
Peutz-Jeghers syndrome,0,Q858,,,,
Pfeiffer症候群,0,B270,,,,
Phenol中毒,7,T490,X44,X64,X85,Y14
Pomes症候群,0,E740,,,,
Potter症候群,0,Q606,,,,
Proteus mirabilis菌感染,0,A498,,,,
Q-T延長症候群,0,R943,,,,
QT節段延長症侯群,0,R943,,,,
Quetiapine中毒,7,T435,X41,X61,X85,Y11
Q熱,0,A78,,,,
Q熱感染,0,A78,,,,
Raynaud氏徵候群,0,I730,,,,
Raynaud氏症候群,0,I730,,,,
Reiter病,0,M023,,,,
Rett症侯群,0,F842,,,,
SARS,5,J128,B342,,,
SEROQUEL併酒精性飲料,7,T435,X41,X61,X85,Y11
SEZARY(賽扎瑞)病,0,C841,,,,
ST段上升心肌梗塞,0,I2199,,,,
Scimitar症候群,0,Q268,,,,
Sepsis,1,A419,P369,,,
Serratia marcescens菌感染,0,A498,,,,
Sheenan症候群,0,E230,,,,
Shy-dragersyndrone,0,G903,,,,
Sick sinus症候群,1,I495,P291,,,
Sjogren syndrome,0,M350,,,,
Sjogren 症侯群,0,M350,,,,
Sjogren's Syndrome,0,M350,,,,
Stevens-Johnson Syudiome症候群,0,L511,,,,
Suffocation,3,R090,T71,P219,,
Sulpiride中毒,7,T435,X41,X61,X85,Y11
S狀結腸癌,0,C187,,,,
T12壓迫骨折,2,M844,S220,,,
TANGIER,0,E786,,,,
TB,1,A1690,P370,,,
Takayasu氏疾病,0,M314,,,,
Takayasu氏病,0,M314,,,,
Takotsubo症候群,1,I4289,P298,,,
Taussig-Bing症候群,0,Q201,,,,
Tramadol過量,7,T404,X42,X62,X85,Y12
Trazodone中毒,7,T432,X41,X61,X85,Y11
Trousseaus症候群,0,I821,,,,
Turner症候群,0,Q969,,,,
T細胞中膈腔淋巴癌,0,C845,,,,
T細胞急性淋巴性白血病,0,C915,,,,
T細胞惡性淋巴瘤,0,C845,,,,
T細胞惡性淋巴癌,0,C845,,,,
T細胞惡性淋巴腫瘤,0,C845,,,,
T細胞株急性淋巴母細胞白血病,0,C915,,,,
T細胞淋巴性白血病,0,C915,,,,
T細胞淋巴惡性腫瘤,0,C845,,,,
T細胞淋巴母細胞淋巴瘤,0,C845,,,,
T細胞淋巴球白血病,0,C915,,,,
T細胞淋巴瘤,0,C845,,,,
T細胞淋巴癌,0,C845,,,,
T細胞淋巴良性腫瘤,0,D360,,,,
T細胞白血病,0,C915,,,,
UTI,1,N390,P393,,,
VACTERL症候群,0,Q872,,,,
VACTERL聯合畸形,0,Q872,,,,
Vacterl關連,0,Q872,,,,
Vater症候群,0,Q872,,,,
Viter壺腹瘤,0,D376,,,,
Von Hippel-Lindau氏症,0,Q858,,,,
W-P-W症候群,1,I456,Q246,,,
WPW症候群,1,I456,Q246,,,
Waldenstrom氏巨球蛋白症,0,C880,,,,
Waterhouse-firderichsen症候群,0,A391,,,,
Wegener肉芽腫病,0,M313,,,,
Werdnig-Hoffman病,0,G120,,,,
Werner症候群,0,E348,,,,
Wilson-Mikity 症候群,0,P270,,,,
Wilson症候群,0,E830,,,,
Wiskott-Aldrich 症候群,0,D820,,,,
Yunis-Varon症候群,0,Q878,,,,
ZOLETIL中毒,7,T414,X44,X64,X85,Y14
Zellweger症候群(蔡雅格氏症候群),0,Q878,,,,
amphetamine,7,T436,X41,X62,X85,Y12
astrocytoma s/p op recurrent,0,C719,,,,
a型主動脈瘤,0,I719,,,,
a型主動脈瘤破裂,0,I718(nTR),,,,
bronchiectasis,1,J47,Q334,,,
budd-chiar症候群,0,I820,,,,
b型乳酸酸度過高,1,E872,P740,,,
b型淋巴癌,0,C851,,,,
b型肝炎急性惡化,1,B169,P353,,,
b型鏈球菌腦膜炎,0,G002,,,,
b細胞急性淋巴球性白血病,0,C910,,,,
cachexia,0,R64,,,,
carbofuran農藥中毒,7,T600,X48,X68,X87,Y18
carcinoma of pancreas,0,C259,,,,
carcinomatosis,0,C809,,,,
cardiae failure,1,I509,P290,,,
cefazolin,5,T361,Y401,,,
central failure,1,R092,P290,,,
charge症候群,0,Q899,,,,
cornelia de Lange's Syndrome,0,Q871,,,,
coumadin過量,7,T455,X44,X64,X85,Y14
c型帶原,1,B171,P353,,,
c型肝炎帶原,1,B171,P353,,,
c型肝炎帶原者,1,B171,P353,,,
delonge症候群,0,Q897,,,,
iga伽碼病變,0,D802,,,,
kasabach-merritt症候群,0,D180,,,,
kenndedy氏病,0,G1229,,,,
ketanine中毒,7,T412,X44,X64,X85,Y14
klatskintumor,0,C221,,,,
marden walker syndrom,0,Q878,,,,
minere氏症候群,0,H810,,,,
multiple organ failure,1,R092,P290,,,
papilla vater腺癌,0,C241,,,,
paraquat中毒,7,T603,X48,X68,X87,Y18
patau氏症候群,0,Q917,,,,
pb輪機械夾傷,6,W31,X83,Y08,Y33,
pmma過量,7,T436,X41,X62,X85,Y12
propafenone中毒過量,7,T462,X44,X64,X85,Y14
propranolol中毒,7,T447,X43,X63,X85,Y13
r/o DIC,1,D65,P60,,,
respiratory failure,1,J969,P285,,,
schizophrenia,0,F209,,,,
septic shock,1,A419,P369,,,
serratia氏桿菌敗血症,1,A418,P368,,,
spontaneous SAH,1,I6090,P525,,,
stevens-johnson syndrome,0,L511,,,,
surge-wber症候群,0,Q858,,,,
wegener氏肉芽腫病,0,M313,,,,
wegener症候群,0,M313,,,,
zolpidem中毒,7,T426,X41,X61,X85,Y11
一條血管疾病,0,I251,,,,
一氧化碳中毒,7,T58,X474,X674,X884,Y174
一氧化碳中毒引起遲發性神經後遺症,5,T97,Y86,,,
一氧化碳中毒後遺症,5,T97,Y86,,,
一氧化碳中毒窒息,7,T58,X474,X674,X884,Y174
一氧化碳吸入過量,7,T58,X474,X674,X884,Y174
一般免疫缺乏之變異型,0,D849,,,,
一般疾病,0,R999,,,,
一般變異性免疫缺乏症,0,D849,,,,
一類感染症,0,B99,,,,
丁型肝炎,1,B178,P353,,,
丁型肝炎帶原,1,B178,P353,,,
丁酮中毒,7,T524,X46,X66,X85,Y16
三叉神經帶狀疱疹,0,B022,,,,
三叉神經疾病,0,G500,,,,
三叉神經痛,0,G500,,,,
三叉神經瘤,0,G500,,,,
三叉神經眼分支帶狀性泡疹,0,B022,,,,
三套18對染色体,0,Q913,,,,
三套染色體,0,Q929,,,,
三對18染色體症候群,0,Q913,,,,
三尖瓣不全,1,I071,Q228,,,
三尖瓣心內膜炎,1,I38,I424,,,
三尖瓣感染,0,I38,,,,
三尖瓣感染性心內膜炎,0,I330,,,,
三尖瓣栓塞,1,I078,Q228,,,
三尖瓣狹窄,1,I070,Q224,,,
三尖瓣疾病,1,I079,Q229,,,
三尖瓣發育不全,0,Q229,,,,
三尖瓣破損,1,I079,Q228,,,
三尖瓣纖維化,0,I5149,,,,
三尖瓣脫垂,1,I078,Q228,,,
三尖瓣膜反流,1,I071,Q228,,,
三尖瓣膜疾病,1,I079,Q229,,,
三尖瓣膜逆流,1,I071,Q228,,,
三尖瓣膜閉鎖不全,1,I071,Q228,,,
三尖瓣血液逆流,1,I071,Q228,,,
三尖瓣贅生物,0,D487,,,,
三尖瓣返流,1,I071,Q228,,,
三尖瓣迴流,1,I071,Q228,,,
三尖瓣逆流,1,I071,Q228,,,
三尖瓣閉鎖,1,I070,Q224,,,
三尖瓣閉鎖不全,1,I071,Q228,,,
三度心室傳導阻滯,1,I442,Q246,,,
三度心室心房阻斷,1,I442,Q246,,,
三度心臟傳導阻斷,1,I442,Q246,,,
三度房室傳導阻斷,1,I442,Q246,,,
三度房室阻塞,1,I442,Q246,,,
三度房室阻斷,1,I442,Q246,,,
三染色體13,0,Q917,,,,
三染色體18,0,Q913,,,,
三條冠狀動脈心臟病,0,I251,,,,
三條冠狀動脈狹窄,0,I251,,,,
三條冠狀動脈疾病,0,I251,,,,
三條冠狀動脈粥樣阻塞,0,I251,,,,
三條血管狹窄,0,I251,,,,
三條血管疾病,0,I251,,,,
三條血管阻塞,0,I251,,,,
三樓外牆施工墜落地面,6,W13,X80,Y01,Y30,
三環抗鬱劑中毒,7,T432,X41,X61,X85,Y11
三級心房心室阻斷,1,I442,Q246,,,
三胞胎,0,P015,,,,
三輪動車*小客車意外事件,0,V339,,,,
三輪機車上跌倒,0,V389,,,,
三輪機車車禍,6,V399,X82,Y03,Y32,
三輪車騎士和汽車發生車禍,6,V335,X82,Y03,Y32,
三輪農作車與自小客車車禍,6,V339,X82,Y03,Y32,
三酸甘油脂血症,0,E781,,,,
三高代謝症候群,1,E889,P749,,,
上三分之一食道惡性腫瘤,0,C153,,,,
上下消化道出血,3,K922,S369(TR),P543,,
上下肢骨折,5,T10,T12,,,
上下腔靜脈栓塞及血栓,0,I822,,,,
上主動脈刺裂傷,7,S250,W269,X78,X99,Y28
上主動脈瘤,0,I712,,,,
上公車時跌落地面,6,V784,X82,Y03,Y32,
上升主動脈夾層動脈瘤破裂,0,I711(nTR),,,,
上升主動脈潰爛破裂,2,I718(nTR),S250,,,
上升主動脈瘤,0,I712,,,,
上升主動脈瘤破裂,0,I711(nTR),,,,
上升主動脈破裂,3,I772(nTR),S250,Q254,,
上升型心肌梗塞,0,I2199,,,,
上升性膽道炎,0,K830,,,,
上升結腸腫瘤,0,D374,,,,
上升結腸腺癌,0,C182,,,,
上升結腸贅瘤,0,C182,,,,
上升部大腸癌,0,C182,,,,
上吊,7,T71,W76,X70,X91,Y20
上吊勒斃,7,T71,W76,X70,X91,Y20
上吊窒息,7,T71,W76,X70,X91,Y20
上吊窒息死亡,7,T71,W76,X70,X91,Y20
上吊縊頸,7,T71,W76,X70,X91,Y20
上吊自殺,7,T71,W76,X70,X91,Y20
上呼吸感染,1,J069,P288,,,
上呼吸道先天結構異常,0,Q349,,,,
上呼吸道出血,0,R049(nTR),,,,
上呼吸道分泌物過多,0,R098,,,,
上呼吸道分泌物阻塞,7,T179,W80,X70,X91,Y20
上呼吸道化學性灼傷,7,T273,X49,X69,X90,Y19
上呼吸道吸入性阻塞,7,T179,W80,X70,X91,Y20
上呼吸道嗆傷,7,T598,X09,X76,X97,Y26
上呼吸道嘔吐物阻塞,7,T179,W78,X70,X91,Y20
上呼吸道壓迫,3,J399,T71,P219,,
上呼吸道外力性壓迫,0,T71,,,,
上呼吸道大出血,0,R049(nTR),,,,
上呼吸道急性阻塞,3,J398,T71,P219,,
上呼吸道惡性腫瘤,0,C390,,,,
上呼吸道感染,1,J069,P288,,,
上呼吸道感染肺炎,1,J189,P239,,,
上呼吸道未明示部位惡性腫瘤,0,C390,,,,
上呼吸道梗塞,7,T179,W80,X70,X91,Y20
上呼吸道水腫,1,J81,P288,,,
上呼吸道灼傷,7,T273,X09,X76,X97,Y26
上呼吸道炎,1,J069,P288,,,
上呼吸道狹窄,1,J398,P219,,,
上呼吸道異常,1,J399,P219,,,
上呼吸道異物哽塞,7,T179,W80,X70,X91,Y20
上呼吸道異物阻塞,7,T179,W80,X70,X91,Y20
上呼吸道異物阻塞窒息,7,T179,W80,X70,X91,Y20
上呼吸道疾病,1,J399,P219,,,
上呼吸道痰梗塞,7,T179,W80,X70,X91,Y20
上呼吸道窒息,3,R090,T71,P219,,
上呼吸道窘迫,1,R060,P229,,,
上呼吸道腐蝕性傷害,7,T277,X49,X69,X90,Y19
上呼吸道腫瘤,0,D386,,,,
上呼吸道腫瘤阻塞,0,D386,,,,
上呼吸道萎縮,1,J399,P219,,,
上呼吸道血塊阻塞,7,T179,W80,X70,X91,Y20
上呼吸道衰竭,1,J969,P285,,,
上呼吸道轉移,0,C783,,,,
上呼吸道過敏性喉頭炎,0,J040,,,,
上呼吸道閉鎖,7,T71,W84,X70,X91,Y20
上呼吸道阻塞,3,J988,T71,P219,,
上呼吸道阻塞性窒息,3,J398,T71,P219,,
上呼吸道阻塞性肺疾病,0,J449,,,,
上呼吸道食物梗塞,7,T179,W79,X70,X91,Y20
上咽喉出血,3,R041(nTR),S199,P548,,
上咽喉癌,0,C140,,,,
上咽狹窄,0,J392,,,,
上咽癌,0,C140,,,,
上咽頭癌,0,C140,,,,
上咽鱗狀細胞癌,0,C140,,,,
上唇內側惡性腫瘤,0,C003,,,,
上唇外側面長1.5公分貫穿內側面長1公分裂傷,0,S015,,,,
上唇小唾液腺基底腺癌,0,C000,,,,
上唇惡性腫瘤,0,C000,,,,
上唇扁平細胞惡性腫瘤,0,C000,,,,
上唇癌,0,C000,,,,
上唇紅緣惡性腫瘤,0,C000,,,,
上唇腺樣囊狀癌,0,C000,,,,
上唇膿瘍,0,K130,,,,
上唇鱗狀細胞癌,0,C000,,,,
上喉癌,0,C329,,,,
上失狀竇栓塞,0,I6349,,,,
上室性頻脈,1,I471,P291,,,
上心室心博過速,1,I471,P291,,,
上心室性心律不整,1,I499,P291,,,
上心室頻脈,1,I471,P291,,,
上昇主動脈剝離性動脈瘤破裂,0,I710(nTR),,,,
上會厭癌,0,C321,,,,
上氣道炎,0,J041,,,,
上泌尿道感染,1,N390,P393,,,
上消化性出血,3,K922,S369(TR),P543,,
上消化道不良,0,I2199,,,,
上消化道休克,3,R578,T794,P968,,
上消化道內出血,3,K922,S369(TR),P543,,
上消化道出血,3,K922,S369(TR),P543,,
上消化道出血休克,5,K922,R571,,,
上消化道出血性休克,3,R571,T794,P968,,
上消化道出血潰瘍,0,K274,,,,
上消化道出血穿孔,0,K276,,,,
上消化道出血糜爛,5,K922,K279,,,
上消化道化學性灼傷,7,T282,X49,X69,X90,Y19
上消化道垂重感,1,K928(nTR),Q459,,,
上消化道大量出血,3,K922,S369(TR),P543,,
上消化道廔管,0,K632,,,,
上消化道強鹼性傷害,7,T287,X49,X69,X90,Y19
上消化道急性出血,3,K922,S369(TR),P543,,
上消化道惡性腫瘤,0,C269,,,,
上消化道感染,0,A099,,,,
上消化道活動性出血,3,K922,S369(TR),P543,,
上消化道潰爛,0,K279,,,,
上消化道潰瘍,0,K279,,,,
上消化道潰瘍出血,0,K274,,,,
上消化道潰瘍急性出血,0,K270,,,,
上消化道潰瘍穿孔,0,K275,,,,
上消化道灼傷,7,T282,X09,X76,X97,Y26
上消化道炎症,0,A099,,,,
上消化道狹窄,1,K928(nTR),Q459,,,
