ICD1_Iris,中文診斷
A162,纖維鈣化性肺結核
A162,慢性開放性肺結核
A162,阻塞性肺結核
A162,開放型肺結核
A162,慢性肺結核
A162,慢性肺結核肺炎
A162,慢性阻塞性肺結核
A162,慢性阻塞性肺癆
A162,肺內結核病
A162,開放性肺結核菌感染
A162,開放性肺結核
A162,鈣化性肺結核
A162,空洞性肺結核
A162,生前患有肺結核
A162,結節性肺結核
A162,傳染性肺結核
A162,結核性肺膿瘍
A162,非典型肺結核
A162,結核性肺炎
A162,肺結核纖維化
A162,肺結節性結核病
A162,重度空洞性肺結核
A162,結核性支氣管肺炎
A162,重度有空洞肺結核
A162,重型活動性肺結核
A162,肺癆
A162,肺膜結核
A162,血行性肺結核
A162,上葉肺結核
A162,擴張性肺結核
A162,廣泛性肺結核
A162,結核性肺病
A162,異型桿菌肺結核
A162,下肺葉肺結核
A162,閉鎖性肺結核
A162,鳥型結核菌性肺炎
A162,瀰漫性多重抗藥性肺結核
A162,再發性肺結核
A162,多重抗藥性肺結核
A162,多重抗藥性肺結核肺炎
A162,瀰漫性肺結核感染
A162,瀰漫性肺結核
A162,多重抗藥性肺結核術後
A162,活動性肺結核
A162,復發性肺結核
A162,瀰漫性開放性肺結核
A162,肺結核感染
A162,肺結核瘤
A162,肺結核鈣化
A162,肺結核性膿瘍
A162,中型肺結核
A162,肺結核空洞化病灶
A162,肺結核後損毀
A162,肺結核弱體質
A162,中型非活動性肺結核
A162,肺結核病
A162,肺結核病性肺炎
A162,浸潤性肺結核
A162,重度肺結核
A162,非活動性肺結核
A162,肺結核桿菌
A162,不活動性肺結核
A162,上肺部中度肺結核
A162,重度活動性肺結核
A162,重度復發性肺結核
A162,抗藥性肺結核
A162,轉移性肺結核
A162,上肺葉結合病灶
A162,中型活動性肺結核
A162,糜爛性肺結核
A162,中度肺結核
A162,肺結核菌感染
A162,破壞性肺結核
A162,肺結核術後
A164,支氣管性肺結核
A164,支氣管性結核
A164,氣管及支氣管性結核
A164,咽喉結核
A164,喉頭結核
A164,喉結核
A164,支氣管結核
A164,氣管性結核
A164,結核性支氣管擴張
A164,慢性結核性氣管擴張症
A164,結核性支氣管炎
A164,結核性支氣管擴張症
A164,氣管結核
A165,結核肋膜炎
A165,肺結核菌肋膜積液
A165,肺肋膜結核
A165,結核菌性肋膜積水
A165,肺結核肋膜炎
A165,肋膜腔結核積水
A165,肋膜腔結核菌感染
A165,肋膜結核積水
A165,結核菌肋膜炎
A165,結核性胸膜炎
A165,結核性肋膜炎
A165,肋膜結核性肺炎
A165,肋膜結核
A165,肋膜性結核病
A165,肋膜性結核
A165,肋膜性肺結核
A165,肺結核性肋膜炎
A165,肺結核性肋膜積水
A165,結核性肋膜積水
A165,結核性肺肋膜炎
A165,結核性胸水
A165,結核性膿胸
A167,原發性結核感染
A167,原發性結核病
A1690,活動性結核
A1690,結核性積液
A1690,結核性腺炎
A1690,結核性感染
A1690,結核病
A1690,浸潤性結核病
A1690,TB
A1690,胸水結核
A1690,結核桿菌感染
A1690,結核病惡病質
A1690,多重抗藥性結核病
A1690,瀰漫性結核菌感染
A1690,瀰漫性結核感染
A1690,結核瘤
A1690,肺外結核
A1690,肺外結核菌感染
A1690,結核菌感染
A1690,肺外結核感染
A1690,胸結核
A1690,結核菌性敗血症
A1690,類結核菌性感染
A1690,結核菌血症
A1690,禽類結核桿菌感染
A1690,結核菌
A1690,開放性結核病
A1690,結核症
A1690,結核病感染
A1690,胸腔結核
A1690,結核菌性敗血性休克
A1690,開放性結核
A1690,結核性膿瘍
A1690,肺臟外結核病
A1690,慢性阻塞性結核病
A1690,潛伏結核感染
A1699,其他特定呼吸道結核
A1699,呼吸道結核病
A170,結核腦膜炎
A170,結核菌腦膜炎
A170,結核性腦膜炎
A170,結核性腦膿瘍
A170,結核菌性腦膜炎
A170,肺結核性腦膜炎
A178,結核菌腦膿瘍
A178,脊髓癆
A178,腦結核菌
A178,大腦結核
A178,結核菌腦炎
A178,結核菌性腦炎
A178,腦結核
A178,結核性腦膜腦炎
A178,結核性腦炎
A178,結核性腦水腫
A178,結核性髓膜炎
A179,神經系統結核病
A179,中樞神經結核病
A179,中樞神經系統結核病
A179,中樞神經系統結核
A180,脊椎結核
A180,頸椎結核病
A180,骨髓癆
A180,結核性關節炎
A180,脊椎結核病
A180,結核性膝關節病變
A180,骨髓結核菌
A180,結核性胸椎腰椎炎
A180,結核性脊椎炎
A180,結核性脊椎感染
A180,結核性脊椎膿瘍
A180,骨關節結核病
A180,骨骼結核
A180,結核性脊髓炎
A180,膝部結核
A180,結核桿菌骨髓炎
A180,膝結核性關節炎
A180,髖關節結核病
A180,結核性骨盆腔膿瘍
A180,結核性骨髓炎
A180,膝關節結核
A180,膝關節結核菌感染
A180,胸脊椎結核
A180,胸椎結核
A180,髖關節結核菌感染
A180,胸椎結核菌感染
A180,胸椎結核菌感染術後
A180,肺外結核(脊椎)
A180,頸胸椎結核感染
A180,關節結核
A180,骨結核
A180,骨盤腔結核
A180,骶椎骨結核
A180,結核性頸椎病變
A180,脊髓結核病
A180,結核菌脊椎炎手術後
A180,腰椎結核感染
A180,胸腰椎結核侵犯
A180,結核菌關節炎
A180,脊椎骨結核症
A180,脊柱結核病
A180,腰椎結核術後
A180,腰椎結核性脊椎炎
A180,結核菌性髖關節炎
A180,脊椎結核感染
A180,無傳染性脊柱結核
A180,結核菌性骨髓炎
A180,腰椎結核
A180,脊椎結核菌感染
A181,膀胱結核
A181,睪丸結核
A181,尿路結核感染
A181,結核性腎炎
A181,結核性腎病變
A181,尿道結核
A181,泌尿道結核
A181,輸尿道結核感染
A181,泌尿道結核菌感染
A181,泌尿道結核感染
A181,腎臟性肺結核
A181,腎結核
A181,副睪丸結核病
A181,結核性膀胱炎
A181,急性腎結核
A181,泌尿系統結核
A181,輸尿管結核
A182,淋巴腺結核
A182,頸部淋巴腺結核
A182,結核性淋巴病變
A182,頸部淋巴結核
A182,淋巴結核
A182,細菌培養陽性之周邊淋巴結結核病
A182,結核菌淋巴腺腫
A182,頸淋巴結核
A182,結核性淋巴炎
A183,結核腹膜炎
A183,腸道結核
A183,迴腸結核病
A183,腸道結核菌感染
A183,結核桿菌腹膜炎
A183,結核菌腹膜炎
A183,結核菌腹腔內感染
A183,腸胃道結核
A183,腸結核穿孔
A183,腸結核
A183,結核菌性腸炎
A183,小腸結核病
A183,升結腸結核
A183,胃腸道結核病
A183,大腸結核病
A183,腹膜結核
A183,腹膜腔結核病
A183,大腸小腸結核病
A183,腹腔結核病
A183,腹腔結核
A183,腹腔內結核菌感染
A183,腹部結核
A183,肺結核性腹膜炎
A183,腹性肺結核
A183,腹內結核菌感染
A183,腹內結核
A183,結核性結腸炎
A183,結核性腸炎
A183,大腸結核菌感染
A183,結核性腸阻塞
A183,結核性腹膜炎
A183,大腸結核
A183,瀰漫性腹內結核
A183,結核性大腸炎
A184,軟組織結核
A184,手腕結核菌感染
A184,下肢結核
A184,手肘結核菌感染症
A184,皮下結核
A184,皮膚結核
A184,腋下結核菌感染
A188,結核性肝膿瘍
A188,結核性肝炎
A188,陰囊結核
A188,急性結核性肝炎
A188,結核菌腱鞘炎
A188,脾結核
A188,口咽結核菌感染
A188,心包性肺結核
A188,心包膜結核
A188,心包核結核
A188,結核性心包膜積水
A188,脾臟結核
A188,腰肌結核
A188,結核性心包膜炎
A188,肺結核性心包膜炎
A188,結核性胸部降主動脈血管瘤破裂
A188,肺結核性心包炎
A188,肝臟結核菌
A188,結核性筋膜炎
A188,食道結核病
A188,肺結核性心臟病
A188,結核性攝護腺炎
A188,肝結核
A188,其他特定器官結核
A188,結核菌心內膜炎
A188,結核菌性心包膜炎
A188,口腔結核
A188,心結核
A188,狹縮性結核心包膜病變
A188,肝浸潤性結核病
A199,瀰漫性結核桿菌感染
A199,開放性粟性肺結核
A199,全身硬化性結核病變
A199,散在性肺結核
A199,全身性結核菌感染
A199,瀰漫性結核
A199,全身性結核
A199,瀰漫性粟狀肺結核
A199,擴散性結核病
A199,散在性結核
A199,全身性擴散性結核病
A199,瀰漫性結核病
A199,散佈性肺結核
A199,不典型結核病
A199,散播性肺結核
A199,栗狀型肺結核
A199,栗狀結核病
A199,栗型結核
A199,栗粒性肺結核
A199,散佈性結核病
A199,猛暴性粟狀結核
A199,慢性結核病
A199,栗粒性結核病
A199,瀰散性肺結核
A199,結核分支桿菌全身感染
A199,粒狀肺結核
A199,粟粒狀肺結核
A199,粟粒性結核
A199,粟粒性肺結核
A199,粟狀結核病
A199,粟狀肺部結核感染
A199,散播性結核
A199,粟粒狀結核
A199,栗性肺結核
A229,炭粉病
A229,足炭疽性壞死
A229,炭疽性壞死
A229,炭疽足
A244,鼻疽症
A244,類鼻疽病
A244,類鼻疽桿菌感染
A244,類鼻疽感染
A309,癩病
A309,麻瘋病
A309,痲瘋
A309,韓森氏症
A309,韓森氏病
A309,漢生病
A310,肺分枝桿菌感染
A310,慢性肺部非典型結核菌感染
A310,分枝桿菌肺病
A310,非典型分枝桿菌肺炎
A310,非結核分枝桿菌肺結核
A310,非結核分枝桿菌肺部感染
A310,非結核分枝桿菌肺疾病
A310,非結核分枝桿菌肺炎
A310,非結核性分枝桿菌肺炎
A310,肺部分枝桿菌感染
A310,非結核性分枝桿菌肺病
A310,其他分枝桿菌肺炎
A310,肺非典型分枝桿菌感染
A310,肺非分枝結核桿菌感染
A310,分枝桿菌肺炎
A310,肺部非典型結核菌感染
A310,非典型結核菌肺炎
A310,肺部非結核分枝桿菌感染
A310,其他分枝桿菌肺部疾病
A310,非典型分枝桿菌肺部感染
A318,分支桿菌骨髓炎
A318,分枝桿菌淋巴腺炎
A318,分枝桿菌心內膜炎
A318,非結核分枝桿菌腦膜炎
A318,骨非分枝結核桿菌感染
A318,呼吸道分枝桿菌感染
A318,非結核分枝桿菌腹膜感染
A318,分枝桿菌腦膜腦炎
A318,非典型分枝桿菌腸炎
A318,中樞神經分枝桿菌感染
A319,分枝結核桿菌感染
A319,皮膚非結核嗜酸菌感染
A319,鳥型分枝桿菌感染
A319,抗藥性分支結核桿菌
A319,抗多種分枝桿菌藥物結核感染
A319,其他分枝桿菌感染
A319,分枝桿菌感染
A319,瀰漫性分枝桿菌感染
A319,非結核性分枝桿菌感染
A319,分支桿菌感染
A319,非分枝桿菌結核
A319,肺部嗜酸性桿菌感染
A319,非分枝桿菌性結核症感染
A319,禽鳥分枝桿菌感染
A319,禽鳥分枝桿菌菌血症
A319,分枝桿菌所致之疾病
A319,非結核分枝桿菌血症
A319,全身性禽鳥分支桿菌感染
A319,瀰漫性鳥型分支桿菌感染
A319,非結核分枝桿菌感染
A319,全身鳥型非結核分枝桿菌感染
A319,瀰漫性細胞內禽結核分枝桿菌感染
A319,非典型結核分支桿菌感染
A319,非典型結核病
A319,非典型結核菌感染
A319,非典型分枝桿菌感染
A319,瀰漫性鳥型結核感染
A319,瀰漫性非結核分支桿菌感染
A319,全身性分枝桿菌感染
A319,非肺結核桿菌感染
A319,非肺結核嗜酸性桿菌感染
A319,分枝桿菌結核菌感染
A319,瀰漫性禽型分枝桿菌感染
A319,非結核分支桿菌
A319,非結核分支桿菌肺炎
A319,非結核分支桿菌感染
A319,瀰漫性非典型結核分枝桿菌敗血症
A329,李斯特菌血症
A329,李斯特菌感染
A369,白喉病
A369,白喉
A379,百日咳肺炎
A379,百日咳
A391,華賀二氏疾病
A391,Waterhouse-firderichsen症候群
A399,腦膜炎球菌感染
A399,流行性腦膜炎球菌感染
A401,乙型鏈球菌敗血症
A401,B型鏈球菌敗血症
A401,B型鏈球菌敗血症休克
A401,B族鏈球菌敗血症
A403,肺炎球菌性敗血症
A403,肺炎鏈球菌敗血症
A403,肺炎雙球菌性敗血症
A403,肺炎鏈球菌性敗血症
A409,鏈球菌敗血症
A409,鏈球菌性敗血症
A410,金黃色葡萄球菌敗血症
A410,歐克殺西林抗性金黃色球菌敗血性休克
A410,金黃色球菌敗血性休克
A410,抗藥性金黃色葡萄球菌敗血症
A410,金黃色葡萄球菌性敗血症
A410,金黃葡萄球菌敗血症
A412,葡萄球菌敗血症
A412,抗藥性葡萄球菌敗血症
A412,葡萄球菌性敗血症
A412,葡萄菌性敗血症
A415,綠膿桿菌性敗血性休克
A415,綠膿桿菌敗血症
A415,格蘭氏陰性敗血性休克
A415,格蘭氏陰性敗血症
A415,嗜麥芽窄食單胞菌敗血症
A415,其他革蘭氏陰性菌所致之敗血症
A415,大腸桿菌性敗血症
A415,大腸桿菌敗血症
A415,革蘭性陰性菌敗血性休克
A415,革蘭氏陰性菌敗血症
A418,低中球性敗血症
A418,革蘭氏陽性敗血症
A418,腸球菌敗血症
A418,腹內敗血症
A418,代謝性敗血症
A418,膽道性敗血症
A418,腹部敗血症
A418,骨髓性敗血症
A418,serratia氏桿菌敗血症
A418,膽汁阻塞性敗血症
A418,克雷氏敗血症
A418,雙球菌敗血症
A418,其他特定之敗血症
A418,克列伯氏桿菌敗血症
A418,變形桿菌敗血症
A418,克雷氏桿菌性敗血症
A418,急性白血球性敗血症
A418,克雷氏桿菌敗血症
A418,格蘭氏陽性敗血症
A418,耐酸性桿菌敗血症
A418,念珠菌血栓
A418,肺部敗血症
A418,黃色脊髓敗血菌菌血症
A418,克雷白肺炎桿菌所致敗血症
A418,腹膜敗血症
A418,急性腎性敗血症
A418,腎性敗血症
A418,假單胞菌敗血症
A418,革蘭氏陽性菌敗血症
A418,肺性敗血症
A418,休克性敗血症
A419,敗血病
A419,腸胃道敗血症
A419,泌尿性敗血性休克
A419,急性骨髓性敗血症
A419,泌尿道敗血性休克
A419,敗血性休克
A419,病毒性敗血性休克
A419,病毒性敗血症
A419,敗血性休克徵候
A419,Sepsis
A419,急性敗血性休克
A419,敗血性多器官衰竭
A419,septic shock
A419,神經性敗血症
A419,細菌毒血性休克
A419,敗血性血症
A419,敗血性菌血症
A419,敗血性感染
A419,出血性敗血症
A419,頑固性敗血症
A419,急性敗血症
A419,歐克氏西林敗血症
A419,敗血性感染休克
A419,毒性敗血性休克
A419,多重抗藥性敗血症
A419,糖尿性敗血性休克
A419,全身發炎反應症候群
A419,全身性發炎反應症候群
A419,放射線敗血症
A419,感染敗血症
A419,全身性發炎反應
A419,全身性敗血症
A419,多發感染敗血症
A419,全身性敗血性休克
A419,壞死性敗血症
A419,壞死性敗血性休克
A419,多發性敗血症
A419,敗血性出血
A419,慢性敗血症
A419,尿路敗血性休克
A419,溶血性敗血症
A419,急性感染性敗血症
A419,菌血症休克
A419,全身性系統發炎反應症候群
A419,細菌性敗血症
A419,菌血性休克
A419,敗血性腦病變
A419,敗血症
A419,化療後敗血症
A419,芽孢桿菌敗血性休克
A419,血行性敗血性休克
A419,敗血性器官衰竭
A419,敗血症休克
A419,敗血症候群
A419,中樞神經敗血性休克
A419,敗血性體質
A419,感染性敗血症
A419,不明原因敗血症
A419,細菌性敗血性休克
A419,敗血菌
A419,細菌性休克
A419,細胞性敗血症
A419,敗血病休克
A419,敗血菌血症
A420,肺放射菌感染
A420,肺部放射線菌感染
A429,放線菌病
A429,放射線菌感染
A429,放射菌感染
A429,放線菌感染
A430,努卡氏菌肺炎
A430,奴卡氏菌肺炎
A430,土壤絲菌肺炎
A439,奴卡氏菌菌血症
A439,奴卡氏菌感染
A439,土壤絲菌敗血症感染
A439,諾卡氏菌感染
A439,努卡菌感染
A46,外傷丹毒感染
A46,下腿丹毒
A46,小腿丹毒
A46,下肢丹毒
A46,丹毒
A46,上肢丹毒
A480,氣疽症
A480,下肢氣壞疽性蜂窩組織炎
A480,頜下氣性壞疽
A480,上臂產氣性壞疽
A480,產氣性壞疽
A481,退伍軍人氏桿菌
A481,退伍軍人菌感染
A481,退伍軍人症
A481,退伍軍人菌肺炎
A483,鏈球菌毒物性休克症候群
A483,毒性休克症候群
A490,金黃色葡萄球菌感染
A490,抗青黴素葡萄球菌感染
A490,多重抗藥性金黃色葡萄球菌菌血症
A490,多重抗藥性金黃色葡萄球菌感染
A490,傷口金黃葡萄球菌感染
A490,金黃色葡萄球菌菌血症
A490,MRSA感染症
A490,抗藥性金黃色葡萄球菌菌血症
A490,金黃色葡萄球菌
A490,金黃葡萄球菌感染
A490,金黃色葡萄球菌血性感染
A490,凝固酶陰性葡萄球菌菌血症
A490,葡萄球菌感染
A490,葡萄球菌菌血症
A490,金黃葡萄球菌菌血症
A490,黃金葡萄球菌血症
A490,凝固酶陰性葡萄球菌感染
A490,金黃葡萄球菌毒性休克症候群
A490,ORSA感染
A490,具抗藥性之金黃色葡萄球菌感染
A490,血行性金黃葡萄球菌感染
A490,金黃色葡萄球菌血症
A490,抗藥性金黃色葡萄球菌感染
A490,抗甲氧苯青黴素金黃色葡萄球菌感染
A490,表皮葡萄菌菌血症
A490,金黃色葡萄球菌血液感染
A490,抗藥性葡萄球菌菌血症
A490,急性葡萄球菌感染
A490,莫西西林耐藥金黃葡萄球菌
A491,A群鏈球菌
A491,下肢鏈球菌感染
A491,鍊球菌菌血症
A491,B型鏈球菌感染
A491,B型溶血性鏈球菌感染
A491,鏈球菌血症
A491,B群鏈球菌
A491,鏈球菌釀膿感染
A491,A型鏈球菌感染
A491,A族鏈球菌感染
A491,鏈球桿菌感染
A491,乙型鏈球菌菌血症
A491,A型鏈球菌菌血症
A491,G型鏈菌血症
A491,乙型鏈球菌感染
A491,鏈球菌感染
A491,戈登鏈球菌
A491,G族鏈球菌感染
A491,鏈球菌菌血症
A492,流行性感冒嗜血桿菌感染
A492,B型嗜血桿菌感染
A492,侵襲性B型嗜血桿菌菌血症
A492,侵襲性B型嗜血桿菌感染
A492,嗜血桿菌菌血症
A493,瀰漫性黴漿感染
A493,瀰漫性黴漿菌感染
A493,黴漿菌感染
A493,黴漿體感染
A498,瀰漫性克雷白氏菌感染
A498,瀰漫性克列白氏菌感染
A498,克氏檸檬酸菌
A498,克列白氏桿菌菌血症
A498,克雷白氏菌感染
A498,產氣夾膜梭菌感染
A498,梭桿菌感染
A498,黏質沙雷氏菌
A498,不動桿菌菌血症
A498,克列伯氏菌血症
A498,克列雷伯氏菌
A498,產氣莢膜梭菌菌血症
A498,奇異變形桿菌菌血症
A498,科雷白氏菌感染
A498,產酸克雷白氏菌感染
A498,革蘭氏陰性大腸菌感染
A498,多重抗藥性鮑氏不動桿菌感染
A498,多重抗藥性綠膿桿菌
A498,抗萬古黴素腸球菌
A498,噬血菌感染
A498,噬肉菌感染
A498,脆弱類桿菌(Bacteroides fragilis)菌血症
A498,多重抗藥性鮑氏不動桿菌
A498,產氣性腸內菌感染
A498,陰溝腸桿菌
A498,下肢細菌感染
A498,克雷伯氏菌菌血症
A498,抗藥性腸球菌瀰漫性感染
A498,抗藥性克雷白氏
A498,梭狀芽胞桿菌感染
A498,克雷白氏菌血症
A498,大腸桿菌感染
A498,大腸細菌感染
A498,單胞菌感染
A498,摩根氏桿菌感染
A498,抗藥性腸球菌菌血症
A498,困難縮狀桿菌感染
A498,格蘭氏陽性菌血症
A498,艱難梭菌感染
A498,梭狀桿菌感染
A498,格蘭氏菌菌血症
A498,克雷白氏菌
A498,克雷白氏桿菌感染
A498,抗藥性腸球菌移生狀態
A498,克雷布氏桿菌感染
A498,克雷氏菌菌血症
A498,粘質色拉雷菌
A498,假單胞菌感染
A498,克雷伯氏菌
A498,革蘭氏陽性桿菌
A498,革蘭氏陽性菌血症
A498,抗藥性大腸桿菌感染
A498,大腸菌菌血症
A498,克雷伯氏菌血症
A498,大腸桿菌菌血症
A498,檸檬酸桿菌菌血症
A498,鮑氏不動桿菌
A498,拒萬古黴素抗藥性之腸球菌感染
A498,包曼氏菌血症
A498,腸球菌感染
A498,腸球菌菌血症
A498,鮑氏不動桿菌感染
A498,鮑氏不動桿菌菌血症
A498,鮑氏不動桿菌多重抗藥性感染
A498,腸桿菌
A498,腸內菌感染
A498,萬古黴素抗藥性腸球菌
A498,包氏不動桿菌感染
A498,屎腸球菌
A498,弗氏檸檬酸桿菌
A498,瀰漫性腸球菌
A498,弗勞地檸檬酸桿菌
A498,膀胱細菌感染
A498,綠膿桿菌感染
A498,伊莉莎白桿菌
A498,伊莉莎白菌感染
A498,綠膿桿菌菌血症
A498,親水性產氣單胞菌性感染
A498,幽門桿菌感染
A498,腳細菌感染
A498,腸桿菌菌血症
A498,多重抗藥大腸桿菌菌血症
A498,水中產氣單胞菌菌血症
A498,PDRAB細菌感染
A498,雷特格式變形桿菌
A498,Serratia marcescens菌感染
A498,Proteus mirabilis菌感染
A498,因鮑氏不動桿菌感染
A498,頸苞球菌感染
A498,出血性大腸桿菌
A499,格蘭氏陰性菌血症
A499,格蘭氏陰性菌感染
A499,續發性細菌感染
A499,葛蘭氏陰性桿菌菌血症
A499,非典型耐酸菌感染
A499,葛蘭氏陰性菌血症
A499,葛蘭氏陰性菌感染
A499,自發性細菌性感染
A499,細菌感染
A499,葛蘭性陰性菌感染
A499,深部細菌感染
A499,繼發性細菌感染
A499,細菌性感染
A499,不明原因細菌感染
A499,血管細菌感染
A499,菌症
A499,上肢細菌感染
A499,侵襲性細菌感染
A499,病菌感染
A499,次發性細菌感染
A499,抗藥性菌株
A499,海洋弧菌感染
A499,菌毒症
A499,海洋弧菌菌血症
A499,革蘭氏陰性菌血症
A499,革蘭氏陰性菌
A499,革蘭氏陰性桿菌感染
A499,多重抗藥性細菌感染
A499,系統性細菌感染
A499,檸檬酸桿菌感染
A499,革蘭氏陰性菌菌血症
A499,多種致病菌感染
A499,血液細菌感染
A499,弧菌感染
A499,全身細菌感染
A499,多重細菌感染
A499,創傷弧菌感染
A499,多重抗菌株感染
A499,瀰漫性細菌感染
A499,多重抗藥菌種感染
A499,多重細菌性感染
A499,壓氧菌感染
A499,急性細菌感染
A499,創傷性海洋弧菌感染
A499,多重抗藥性細菌菌血症
A499,壓創性細菌感染
A523,神經性梅毒
A523,神經梅毒
A523,中樞神經性梅毒
A539,梅毒螺旋體感染
A539,梅毒
A539,梅毒感染
A630,胃濕疣
A630,十二指腸濕疣
A630,病毒性尖錐濕疣
A630,陰囊菜花
A699,鉤端螺旋體感染
A699,鉤端螺旋體病
A699,勾端螺旋菌感染
A699,勾端螺旋體
A699,細鉤端螺蜁體病
A699,鉤端螺旋菌感染
A699,鈎端螺旋體感染
A699,細鉤端螺旋體病
A699,細縲旋體感染
A759,斑疹傷寒症
A759,地方性班疹傷寒
A759,地方性斑疹傷寒
A78,Q熱
A78,Q熱感染
A809,急性脊髓灰白質炎
A809,小兒麻痺症
A809,先天性小兒麻痺
A809,小兒麻痺
A809,脊髓灰白質炎
A810,賈庫氏症
A810,克雅氏病
A810,庫賈氏病
A810,賈克二氏症
A810,狂牛症
A810,克魯滋費爾德氏亞克伯氏症
A810,瀰漫性海綿樣狀腦病變
A810,庫賈氏症
A810,庫賈氏症候群
A812,漸進性多發性腦白質病變
A812,漸行性多發性白質腦病變
A812,進行性多發性腦脊髓白質病變
A812,多發性白質病變
A850,腸病毒腦炎
A850,腸病毒中樞神經感染
A850,腸病毒腦膜腦炎
A850,腸病毒腦脊髓膜炎
A850,中樞神經系統腸病毒重症
A86,中樞神經病毒感染
A86,濾過性病毒腦炎
A86,慢性病毒性腦炎
A86,急性散播性病毒性腦炎
A86,急性病毒性腦炎
A86,病毒性腦脊髓膜腦炎
A86,病毒性腦膜腦炎
A86,病毒壞死性腦膜腦炎
A86,病毒性腦炎
A89,病毒性中樞神經感染
A89,病毒性腦病變
A89,急性病毒性腦病變
A972,登革休克症侯群
A972,登革出血熱
A972,出血性登革熱
A979,登革熱
A979,登革熱重症
A985,漢他病毒疾病
A985,漢他肺症候群
A99,出血性熱病
A99,出血熱
A99,病毒性出血熱
A99,不明原因出血熱
B003,單純疱疹病毒腦膜炎
B003,疱疹性腦膜炎
B003,疱疹病毒腦膜炎
B004,單純性疱疹腦炎
B004,單純皰疹腦脊髓炎
B004,單純疱疹腦炎
B004,疱疹性腦炎
B004,新生兒疱疹性腦膜炎
B004,疱疹性腦膜腦炎
B004,皰疹性腦炎
B004,皰疹性腦病變
B004,泡疹性腦炎
B008,疱疹性食道炎
B008,疱疹性肺炎
B009,瀰漫性泡疹
B009,腳泡疹
B009,皰疹病毒感染
B009,疱疹
